ax,ay,az,gx,gy,gz,target
5.41,-0.02,8.34,0.26,-0.06,-0.02,IDLE3
5.66,-1.08,8.35,0.29,-0.1,0.02,IDLE3
5.67,-0.47,8.09,0.29,-0.1,0.02,IDLE3
5.98,-0.43,7.79,0.27,-0.08,-0.03,IDLE3
5.96,-0.02,8.11,0.26,-0.09,-0.01,IDLE3
5.92,-1.06,8.62,0.29,-0.11,0.02,IDLE3
5.51,-0.35,8.41,0.29,-0.09,0.02,IDLE3
5.63,-0.27,7.77,0.27,-0.06,-0.03,IDLE3
5.58,-0.11,7.95,0.26,-0.07,-0.02,IDLE3
6.19,-1.03,8.27,0.29,-0.12,0.03,IDLE3
6.02,-0.32,8.37,0.29,-0.12,0.02,IDLE3
5.75,-0.28,8.2,0.27,-0.07,-0.03,IDLE3
5.39,-0.04,8.1,0.26,-0.06,-0.02,IDLE3
5.74,-1.09,8.26,0.28,-0.1,0.02,IDLE3
5.81,-0.42,8.02,0.29,-0.1,0.02,IDLE3
6.18,-0.3,7.92,0.27,-0.09,-0.02,IDLE3
5.81,0.0,8.26,0.26,-0.08,-0.02,IDLE3
5.66,-0.99,8.68,0.28,-0.1,0.03,IDLE3
5.41,-0.31,8.29,0.29,-0.08,0.02,IDLE3
5.88,-0.35,7.76,0.27,-0.08,-0.02,IDLE3
5.88,-0.11,7.89,0.26,-0.08,-0.02,IDLE3
6.18,-0.96,8.5,0.28,-0.12,0.03,IDLE3
5.66,-0.31,8.43,0.29,-0.1,0.02,IDLE3
5.61,-0.26,8.04,0.27,-0.06,-0.03,IDLE3
5.54,-0.12,7.91,0.26,-0.07,-0.02,IDLE3
5.96,-1.1,8.4,0.27,-0.12,0.03,IDLE3
5.98,-0.38,8.04,0.29,-0.11,0.02,IDLE3
6.11,-0.26,8.03,0.27,-0.09,-0.02,IDLE3
5.65,-0.12,8.29,0.27,-0.07,-0.02,IDLE3
5.46,-1.03,8.66,0.27,-0.09,0.03,IDLE3
5.5,-0.34,8.09,0.29,-0.09,0.02,IDLE3
6.14,-0.32,7.67,0.28,-0.08,-0.02,IDLE3
6.14,-0.18,8.05,0.27,-0.1,-0.02,IDLE3
5.92,-1.05,8.78,0.27,-0.12,0.03,IDLE3
5.35,-0.32,8.45,0.29,-0.09,0.02,IDLE3
5.64,-0.23,7.73,0.28,-0.06,-0.03,IDLE3
5.89,-0.3,7.79,0.27,-0.08,-0.03,IDLE3
6.0,-1.12,8.55,0.26,-0.12,0.03,IDLE3
5.68,-0.24,8.44,0.29,-0.1,0.02,IDLE3
5.93,-0.21,7.98,0.28,-0.08,-0.03,IDLE3
5.6,-0.21,8.15,0.27,-0.07,-0.03,IDLE3
5.4,-1.17,8.57,0.26,-0.1,0.03,IDLE3
5.66,-0.31,8.12,0.29,-0.09,0.02,IDLE3
6.36,-0.18,7.7,0.29,-0.09,-0.02,IDLE3
5.97,-0.32,8.28,0.28,-0.09,-0.02,IDLE3
5.51,-1.13,8.91,0.26,-0.11,0.03,IDLE3
5.15,-0.2,8.4,0.29,-0.07,0.01,IDLE3
5.92,-0.27,7.53,0.29,-0.07,-0.02,IDLE3
6.23,-0.36,7.84,0.27,-0.1,-0.02,IDLE3
5.77,-0.99,8.88,0.25,-0.12,0.03,IDLE3
5.45,-0.15,8.47,0.3,-0.08,0.01,IDLE3
5.9,-0.25,7.88,0.29,-0.07,-0.02,IDLE3
5.6,-0.31,8.05,0.27,-0.07,-0.03,IDLE3
5.52,-1.06,8.6,0.25,-0.1,0.03,IDLE3
5.88,-0.14,8.15,0.3,-0.09,0.02,IDLE3
6.28,-0.3,7.92,0.3,-0.09,-0.01,IDLE3
5.7,-0.39,8.44,0.27,-0.08,-0.03,IDLE3
5.23,-0.91,8.89,0.25,-0.09,0.03,IDLE3
5.26,-0.19,8.23,0.29,-0.07,0.01,IDLE3
6.22,-0.39,7.62,0.29,-0.09,-0.01,IDLE3
6.27,-0.32,8.02,0.27,-0.1,-0.02,IDLE3
5.51,-0.82,8.89,0.25,-0.1,0.03,IDLE3
5.32,-0.21,8.36,0.3,-0.07,0.01,IDLE3
5.79,-0.26,7.89,0.29,-0.07,-0.01,IDLE3
5.78,-0.41,7.87,0.27,-0.08,-0.03,IDLE3
5.71,-0.89,8.57,0.24,-0.1,0.03,IDLE3
5.82,-0.2,8.28,0.3,-0.09,0.01,IDLE3
6.06,-0.36,8.02,0.3,-0.09,-0.01,IDLE3
5.65,-0.47,8.18,0.27,-0.08,-0.03,IDLE3
