ax,ay,az,gx,gy,gz,target
6.28,-0.86,7.81,0.16,-0.08,-0.2,ANOM3
6.21,-0.49,7.86,0.13,-0.06,-0.24,ANOM3
5.88,-0.57,8.14,0.11,-0.06,-0.22,ANOM3
5.75,-0.97,8.4,0.16,-0.07,-0.17,ANOM3
5.85,-0.79,8.12,0.18,-0.07,-0.16,ANOM3
6.0,-0.6,7.68,0.15,-0.06,-0.21,ANOM3
6.06,-0.52,7.93,0.13,-0.06,-0.2,ANOM3
6.03,-1.02,8.32,0.17,-0.09,-0.14,ANOM3
6.11,-0.74,8.24,0.2,-0.09,-0.13,ANOM3
5.91,-0.62,7.88,0.18,-0.06,-0.19,ANOM3
5.68,-0.4,7.88,0.15,-0.05,-0.18,ANOM3
5.85,-1.1,8.09,0.18,-0.08,-0.12,ANOM3
6.23,-0.73,8.02,0.22,-0.1,-0.11,ANOM3
6.39,-0.56,7.81,0.19,-0.08,-0.16,ANOM3
5.89,-0.37,8.12,0.17,-0.06,-0.16,ANOM3
5.62,-1.0,8.37,0.2,-0.07,-0.1,ANOM3
5.77,-0.74,8.02,0.23,-0.08,-0.09,ANOM3
6.36,-0.65,7.63,0.21,-0.08,-0.14,ANOM3
6.25,-0.28,7.8,0.19,-0.08,-0.14,ANOM3
6.0,-0.88,8.4,0.21,-0.09,-0.08,ANOM3
5.86,-0.77,8.31,0.25,-0.08,-0.07,ANOM3
6.0,-0.53,7.83,0.23,-0.06,-0.11,ANOM3
5.88,-0.32,7.77,0.2,-0.06,-0.13,ANOM3
6.0,-0.9,8.18,0.21,-0.08,-0.07,ANOM3
6.18,-0.73,8.32,0.25,-0.09,-0.05,ANOM3
6.31,-0.48,7.95,0.24,-0.08,-0.1,ANOM3
5.87,-0.23,7.94,0.2,-0.05,-0.12,ANOM3
5.57,-0.87,8.26,0.2,-0.06,-0.07,ANOM3
5.86,-0.82,8.07,0.24,-0.08,-0.06,ANOM3
6.52,-0.37,7.59,0.23,-0.08,-0.11,ANOM3
6.31,-0.22,7.79,0.19,-0.07,-0.14,ANOM3
5.8,-0.93,8.49,0.18,-0.07,-0.1,ANOM3
5.65,-0.77,8.48,0.2,-0.06,-0.09,ANOM3
6.18,-0.34,7.5,0.2,-0.05,-0.15,ANOM3
6.34,-0.37,7.55,0.16,-0.06,-0.19,ANOM3
6.01,-0.95,8.35,0.13,-0.07,-0.16,ANOM3
5.98,-0.74,8.39,0.16,-0.07,-0.15,ANOM3
6.26,-0.34,7.71,0.16,-0.05,-0.2,ANOM3
6.02,-0.37,7.79,0.12,-0.04,-0.24,ANOM3
5.61,-1.05,8.3,0.09,-0.05,-0.22,ANOM3
5.99,-0.72,8.05,0.13,-0.06,-0.2,ANOM3
6.57,-0.4,7.69,0.14,-0.06,-0.25,ANOM3
6.24,-0.45,7.98,0.09,-0.06,-0.29,ANOM3
5.47,-0.96,8.58,0.06,-0.04,-0.26,ANOM3
5.58,-0.69,8.24,0.1,-0.04,-0.25,ANOM3
6.38,-0.58,7.52,0.12,-0.06,-0.28,ANOM3
6.31,-0.57,7.85,0.08,-0.07,-0.31,ANOM3
5.66,-0.73,8.49,0.05,-0.05,-0.29,ANOM3
5.72,-0.68,8.35,0.1,-0.05,-0.26,ANOM3
6.14,-0.61,7.81,0.12,-0.06,-0.28,ANOM3
5.93,-0.6,7.81,0.08,-0.06,-0.31,ANOM3
5.68,-0.77,8.24,0.06,-0.05,-0.29,ANOM3
5.99,-0.62,8.23,0.12,-0.07,-0.24,ANOM3
6.52,-0.62,7.92,0.15,-0.08,-0.25,ANOM3
5.91,-0.57,8.1,0.1,-0.06,-0.29,ANOM3
4.83,-0.54,7.93,-0.03,0.02,-0.25,ANOM3
6.43,-2.1,8.72,0.13,-0.05,-0.24,ANOM3
6.28,-0.85,7.17,0.17,-0.06,-0.26,ANOM3
6.66,-1.75,8.67,0.13,-0.06,-0.32,ANOM3
5.44,-0.14,8.07,0.16,-0.03,-0.37,ANOM3
5.76,-1.34,8.3,0.18,-0.07,-0.31,ANOM3
6.08,-0.53,8.01,0.24,-0.08,-0.33,ANOM3
6.02,-0.79,7.72,0.14,-0.07,-0.35,ANOM3
6.05,-0.46,7.91,0.12,-0.04,-0.37,ANOM3
5.91,-0.36,8.31,0.12,-0.05,-0.29,ANOM3
6.2,-0.79,8.22,0.15,-0.05,-0.3,ANOM3
6.01,-0.17,7.93,0.1,-0.02,-0.37,ANOM3
5.87,0.11,8.1,0.08,-0.02,-0.38,ANOM3
6.04,-0.11,8.0,0.14,-0.06,-0.35,ANOM3
6.37,0.32,8.37,0.16,-0.07,-0.34,ANOM3
5.75,0.85,8.11,0.12,-0.03,-0.38,ANOM3
5.44,0.94,8.21,0.04,-0.02,-0.34,ANOM3
5.36,0.54,8.39,0.05,-0.03,-0.26,ANOM3
5.55,0.43,8.29,0.05,-0.04,-0.2,ANOM3
6.0,0.38,8.03,0.04,-0.04,-0.23,ANOM3
5.71,0.79,8.25,0.02,-0.04,-0.22,ANOM3
5.44,-0.5,8.81,0.08,-0.07,-0.13,ANOM3
5.44,-0.19,8.61,0.13,-0.09,-0.1,ANOM3
5.4,0.13,7.96,0.11,-0.07,-0.14,ANOM3
5.63,0.17,7.79,0.09,-0.08,-0.11,ANOM3
5.94,-0.91,8.35,0.1,-0.13,-0.01,ANOM3
5.62,-0.73,8.61,0.13,-0.11,0.04,ANOM3
5.7,-0.48,7.97,0.14,-0.08,0.01,ANOM3
5.75,-0.48,7.93,0.13,-0.08,0.0,ANOM3
5.58,-1.58,8.39,0.17,-0.12,0.07,ANOM3
5.92,-1.56,8.41,0.21,-0.14,0.09,ANOM3
6.53,-0.95,7.59,0.22,-0.13,0.01,ANOM3
6.22,-0.87,7.79,0.21,-0.12,0.02,ANOM3
5.75,-2.07,8.35,0.21,-0.11,0.05,ANOM3
5.53,-2.15,8.59,0.23,-0.08,0.05,ANOM3
6.28,-1.83,7.63,0.26,-0.08,-0.02,ANOM3
6.6,-1.76,7.56,0.27,-0.1,-0.08,ANOM3
5.94,-2.44,8.5,0.27,-0.1,-0.09,ANOM3
5.61,-2.19,8.45,0.33,-0.08,-0.1,ANOM3
6.36,-1.72,7.49,0.36,-0.06,-0.18,ANOM3
6.18,-1.13,7.42,0.32,-0.04,-0.27,ANOM3
5.74,-1.8,8.23,0.27,-0.04,-0.25,ANOM3
6.11,-1.15,8.01,0.29,-0.04,-0.25,ANOM3
6.56,-0.54,7.49,0.28,-0.03,-0.32,ANOM3
6.08,-0.37,8.0,0.22,-0.03,-0.37,ANOM3
5.6,-0.35,8.49,0.18,-0.03,-0.36,ANOM3
5.75,0.44,8.11,0.21,-0.03,-0.36,ANOM3
6.5,0.6,7.63,0.23,-0.04,-0.41,ANOM3
6.26,0.95,7.92,0.18,-0.03,-0.43,ANOM3
5.34,0.83,8.76,0.11,-0.0,-0.39,ANOM3
5.18,1.21,8.53,0.15,-0.0,-0.33,ANOM3
5.83,1.37,7.81,0.15,-0.03,-0.31,ANOM3
5.65,1.07,8.08,0.07,-0.04,-0.32,ANOM3
5.24,0.83,8.71,0.03,-0.05,-0.24,ANOM3
5.52,1.15,8.56,0.11,-0.06,-0.16,ANOM3
5.84,0.91,8.19,0.13,-0.07,-0.15,ANOM3
5.32,0.62,8.28,0.08,-0.06,-0.15,ANOM3
4.85,0.44,8.56,0.05,-0.07,-0.07,ANOM3
5.44,0.37,8.0,0.11,-0.09,-0.01,ANOM3
6.26,0.05,7.97,0.14,-0.14,0.02,ANOM3
5.78,-0.08,8.37,0.1,-0.12,0.02,ANOM3
5.19,-0.22,8.46,0.07,-0.09,0.06,ANOM3
5.63,-0.73,8.14,0.15,-0.11,0.1,ANOM3
6.26,-1.01,7.87,0.17,-0.15,0.1,ANOM3
6.11,-1.02,7.98,0.14,-0.12,0.05,ANOM3
5.88,-0.62,7.98,0.12,-0.12,0.07,ANOM3
5.95,-1.16,7.98,0.15,-0.14,0.1,ANOM3
5.89,-1.63,8.23,0.17,-0.14,0.08,ANOM3
6.06,-1.25,7.67,0.1,-0.1,0.02,ANOM3
6.24,-1.01,7.58,0.06,-0.1,0.02,ANOM3
6.35,-2.09,8.15,0.15,-0.11,0.04,ANOM3
6.42,-1.96,8.12,0.18,-0.1,-0.0,ANOM3
6.3,-1.87,7.93,0.16,-0.04,-0.14,ANOM3
5.94,-1.72,7.93,0.16,-0.03,-0.2,ANOM3
6.07,-2.76,8.12,0.21,-0.07,-0.2,ANOM3
6.39,-2.21,7.74,0.23,-0.08,-0.27,ANOM3
