ax,ay,az,gx,gy,gz,target
5.98,-1.31,8.45,0.31,-0.12,0.11,MOV2
5.36,-0.72,8.4,0.33,-0.09,0.13,MOV2
6.21,-0.81,7.52,0.39,-0.09,0.12,MOV2
6.68,-0.88,7.38,0.36,-0.12,0.09,MOV2
6.02,-1.33,8.18,0.3,-0.12,0.09,MOV2
5.88,-0.55,8.15,0.33,-0.1,0.12,MOV2
6.48,-0.92,7.65,0.39,-0.11,0.11,MOV2
6.32,-0.94,7.87,0.35,-0.11,0.08,MOV2
5.5,-1.01,8.08,0.28,-0.08,0.07,MOV2
5.94,-0.55,7.83,0.32,-0.09,0.09,MOV2
6.69,-1.12,7.49,0.38,-0.12,0.1,MOV2
6.69,-0.95,7.94,0.34,-0.13,0.08,MOV2
5.59,-0.86,8.39,0.28,-0.08,0.05,MOV2
5.6,-0.58,7.93,0.32,-0.07,0.08,MOV2
6.29,-1.43,7.84,0.36,-0.11,0.11,MOV2
6.45,-0.96,7.83,0.33,-0.12,0.08,MOV2
6.04,-0.71,7.9,0.28,-0.09,0.05,MOV2
6.13,-0.57,7.97,0.33,-0.1,0.08,MOV2
6.21,-1.54,8.14,0.36,-0.12,0.12,MOV2
5.87,-0.88,8.01,0.33,-0.1,0.08,MOV2
5.8,-0.52,7.54,0.29,-0.07,0.04,MOV2
6.39,-0.82,7.81,0.33,-0.1,0.08,MOV2
6.54,-1.53,8.15,0.36,-0.14,0.13,MOV2
6.11,-0.79,8.16,0.34,-0.11,0.09,MOV2
5.74,-0.4,7.7,0.31,-0.06,0.04,MOV2
5.96,-1.0,7.76,0.33,-0.09,0.08,MOV2
6.09,-1.64,8.21,0.34,-0.13,0.14,MOV2
6.26,-0.55,7.79,0.35,-0.1,0.09,MOV2
6.44,-0.33,7.45,0.32,-0.09,0.05,MOV2
6.24,-1.11,8.01,0.33,-0.11,0.09,MOV2
5.65,-1.55,8.51,0.34,-0.11,0.14,MOV2
5.82,-0.56,7.66,0.36,-0.08,0.09,MOV2
6.68,-0.49,7.17,0.33,-0.09,0.05,MOV2
6.47,-1.25,8.11,0.32,-0.13,0.09,MOV2
5.92,-1.35,8.53,0.33,-0.12,0.13,MOV2
5.98,-0.5,7.74,0.36,-0.09,0.09,MOV2
6.35,-0.54,7.3,0.34,-0.08,0.05,MOV2
6.04,-1.42,8.08,0.3,-0.11,0.08,MOV2
5.83,-1.02,8.27,0.31,-0.11,0.12,MOV2
6.49,-0.59,7.58,0.37,-0.1,0.09,MOV2
6.8,-0.67,7.55,0.34,-0.11,0.05,MOV2
5.74,-1.37,8.46,0.29,-0.1,0.07,MOV2
5.33,-0.84,8.2,0.3,-0.08,0.09,MOV2
6.42,-0.85,7.31,0.37,-0.09,0.08,MOV2
7.01,-0.89,7.47,0.33,-0.13,0.06,MOV2
5.88,-1.08,8.47,0.27,-0.1,0.05,MOV2
5.65,-0.68,8.33,0.3,-0.08,0.08,MOV2
6.24,-1.03,7.63,0.36,-0.09,0.08,MOV2
6.42,-0.96,7.52,0.32,-0.11,0.05,MOV2
5.88,-1.04,7.94,0.26,-0.09,0.04,MOV2
6.15,-0.58,7.92,0.3,-0.1,0.06,MOV2
6.48,-1.29,7.93,0.36,-0.12,0.08,MOV2
6.37,-0.98,7.99,0.33,-0.12,0.06,MOV2
5.42,-0.88,8.06,0.27,-0.07,0.03,MOV2
5.78,-0.73,7.76,0.3,-0.08,0.05,MOV2
6.57,-1.44,7.78,0.34,-0.13,0.09,MOV2
6.55,-0.9,8.06,0.32,-0.12,0.06,MOV2
5.76,-0.62,8.15,0.28,-0.07,0.02,MOV2
5.8,-0.77,8.16,0.3,-0.08,0.05,MOV2
6.01,-1.49,8.06,0.33,-0.11,0.08,MOV2
6.09,-0.95,7.74,0.32,-0.1,0.06,MOV2
6.24,-0.56,7.51,0.28,-0.08,0.01,MOV2
6.29,-0.94,8.01,0.3,-0.1,0.05,MOV2
5.97,-1.51,8.31,0.32,-0.11,0.08,MOV2
5.78,-0.7,7.88,0.32,-0.08,0.05,MOV2
5.85,-0.53,7.36,0.29,-0.06,0.0,MOV2
6.23,-1.08,7.75,0.29,-0.1,0.04,MOV2
6.31,-1.38,8.19,0.31,-0.12,0.08,MOV2
6.16,-0.68,8.05,0.33,-0.09,0.05,MOV2
6.18,-0.6,7.69,0.3,-0.07,0.0,MOV2
5.84,-1.11,7.94,0.28,-0.08,0.03,MOV2
5.77,-1.36,8.17,0.3,-0.1,0.07,MOV2
6.27,-0.77,7.58,0.33,-0.1,0.05,MOV2
6.75,-0.64,7.45,0.31,-0.09,0.01,MOV2
6.06,-1.08,8.26,0.28,-0.1,0.03,MOV2
5.58,-1.22,8.37,0.29,-0.09,0.06,MOV2
5.95,-0.73,7.58,0.32,-0.08,0.04,MOV2
6.51,-0.8,7.21,0.3,-0.09,0.01,MOV2
6.34,-1.14,7.92,0.27,-0.11,0.02,MOV2
6.01,-1.05,8.36,0.29,-0.11,0.06,MOV2
6.04,-0.81,7.86,0.33,-0.08,0.04,MOV2
6.34,-0.89,7.54,0.31,-0.09,0.01,MOV2
5.88,-1.04,7.91,0.26,-0.09,0.01,MOV2
5.99,-0.94,8.02,0.28,-0.1,0.04,MOV2
6.57,-0.89,7.66,0.33,-0.11,0.04,MOV2
6.67,-0.97,7.81,0.31,-0.11,0.02,MOV2
5.66,-0.91,8.25,0.26,-0.08,0.01,MOV2
5.53,-0.93,8.03,0.27,-0.08,0.03,MOV2
6.27,-1.2,7.59,0.32,-0.1,0.04,MOV2
6.68,-1.02,7.82,0.3,-0.12,0.03,MOV2
6.3,-0.82,7.88,0.26,-0.1,0.0,MOV2
5.88,-0.86,8.26,0.28,-0.09,0.03,MOV2
5.99,-1.25,8.03,0.32,-0.09,0.04,MOV2
6.03,-0.99,7.83,0.3,-0.09,0.03,MOV2
6.07,-0.77,7.63,0.27,-0.08,-0.01,MOV2
6.28,-0.86,7.96,0.28,-0.1,0.02,MOV2
6.45,-1.28,8.11,0.32,-0.11,0.04,MOV2
6.07,-0.91,8.07,0.3,-0.1,0.03,MOV2
5.73,-0.63,7.7,0.27,-0.06,-0.02,MOV2
5.89,-0.93,7.74,0.27,-0.08,0.01,MOV2
6.31,-1.47,7.98,0.3,-0.12,0.04,MOV2
6.37,-0.75,7.95,0.3,-0.1,0.02,MOV2
6.37,-0.58,7.8,0.28,-0.08,-0.01,MOV2
5.92,-0.93,8.12,0.28,-0.08,0.01,MOV2
5.71,-1.45,8.26,0.29,-0.09,0.04,MOV2
6.02,-0.76,7.54,0.3,-0.08,0.02,MOV2
6.67,-0.7,7.35,0.29,-0.09,-0.02,MOV2
6.38,-1.02,8.06,0.27,-0.11,0.0,MOV2
5.71,-1.36,8.56,0.28,-0.09,0.04,MOV2
5.87,-0.65,7.83,0.3,-0.07,0.01,MOV2
6.27,-0.68,7.21,0.29,-0.07,-0.02,MOV2
6.23,-1.22,7.8,0.26,-0.1,0.0,MOV2
6.17,-1.21,8.36,0.26,-0.11,0.03,MOV2
6.25,-0.63,7.82,0.31,-0.09,0.01,MOV2
6.32,-0.86,7.66,0.3,-0.08,-0.01,MOV2
5.77,-1.16,8.18,0.26,-0.08,-0.0,MOV2
5.51,-1.11,8.18,0.25,-0.08,0.02,MOV2
6.45,-0.77,7.41,0.31,-0.09,0.01,MOV2
6.87,-0.95,7.6,0.3,-0.12,-0.0,MOV2
5.86,-1.18,8.44,0.25,-0.09,-0.01,MOV2
5.43,-0.87,8.25,0.25,-0.07,0.01,MOV2
6.0,-0.81,7.56,0.31,-0.08,0.01,MOV2
6.4,-1.13,7.53,0.29,-0.1,-0.0,MOV2
6.12,-1.15,8.01,0.24,-0.1,-0.01,MOV2
6.11,-0.66,8.09,0.26,-0.09,0.0,MOV2
6.29,-1.14,7.9,0.32,-0.1,0.02,MOV2
5.88,-1.13,8.06,0.29,-0.09,0.0,MOV2
5.53,-0.97,8.0,0.24,-0.06,-0.03,MOV2
5.99,-0.66,7.75,0.26,-0.07,-0.0,MOV2
6.6,-1.34,7.88,0.32,-0.12,0.02,MOV2
6.2,-1.02,8.28,0.29,-0.1,0.01,MOV2
5.75,-0.74,8.03,0.25,-0.05,-0.03,MOV2
5.77,-0.64,7.72,0.27,-0.07,-0.01,MOV2
5.89,-1.52,7.89,0.31,-0.09,0.02,MOV2
6.15,-1.01,7.82,0.28,-0.09,0.0,MOV2
6.53,-0.6,7.61,0.26,-0.08,-0.03,MOV2
6.2,-0.68,7.96,0.28,-0.09,-0.01,MOV2
5.71,-1.59,8.44,0.29,-0.09,0.02,MOV2
5.82,-0.72,7.7,0.28,-0.07,-0.0,MOV2
6.19,-0.6,7.3,0.26,-0.06,-0.03,MOV2
6.41,-0.87,7.7,0.27,-0.1,-0.01,MOV2
6.19,-1.53,8.52,0.28,-0.12,0.02,MOV2
6.02,-0.65,7.92,0.28,-0.08,0.0,MOV2
6.24,-0.58,7.35,0.28,-0.07,-0.03,MOV2
5.94,-1.12,7.73,0.26,-0.09,-0.01,MOV2
5.83,-1.51,8.23,0.26,-0.09,0.02,MOV2
6.53,-0.6,7.57,0.29,-0.1,0.0,MOV2
6.77,-0.71,7.65,0.29,-0.1,-0.02,MOV2
5.77,-1.16,8.38,0.26,-0.09,-0.01,MOV2
5.47,-1.13,8.29,0.25,-0.07,0.01,MOV2
6.25,-0.74,7.35,0.3,-0.09,0.0,MOV2
6.75,-1.04,7.55,0.29,-0.12,-0.01,MOV2
6.21,-1.16,8.14,0.25,-0.1,-0.02,MOV2
5.99,-1.01,8.37,0.25,-0.09,0.01,MOV2
6.04,-0.84,7.78,0.31,-0.09,0.01,MOV2
5.96,-1.01,7.7,0.29,-0.08,-0.01,MOV2
6.01,-1.13,7.89,0.24,-0.08,-0.03,MOV2
6.34,-0.72,7.96,0.25,-0.1,0.0,MOV2
6.53,-0.99,7.92,0.31,-0.11,0.02,MOV2
6.11,-1.0,8.24,0.29,-0.09,-0.0,MOV2
5.66,-0.93,8.03,0.24,-0.06,-0.04,MOV2
5.78,-0.76,7.69,0.25,-0.07,-0.01,MOV2
6.28,-1.35,7.82,0.31,-0.1,0.02,MOV2
6.44,-0.96,7.99,0.29,-0.1,-0.0,MOV2
6.33,-0.84,7.99,0.25,-0.08,-0.03,MOV2
5.86,-0.68,8.01,0.26,-0.08,-0.01,MOV2
5.72,-1.38,8.03,0.3,-0.08,0.01,MOV2
6.03,-0.95,7.63,0.28,-0.08,-0.01,MOV2
6.53,-0.68,7.49,0.26,-0.08,-0.03,MOV2
6.31,-0.68,8.03,0.27,-0.1,-0.01,MOV2
6.16,-1.4,8.33,0.29,-0.11,0.02,MOV2
5.94,-0.86,8.01,0.28,-0.08,-0.0,MOV2
6.04,-0.61,7.4,0.26,-0.06,-0.04,MOV2
6.19,-0.87,7.67,0.26,-0.09,-0.02,MOV2
6.34,-1.51,8.3,0.27,-0.12,0.01,MOV2
6.26,-0.74,8.01,0.29,-0.1,0.01,MOV2
6.38,-0.61,7.68,0.28,-0.08,-0.03,MOV2
5.84,-0.88,7.92,0.26,-0.08,-0.02,MOV2
5.72,-1.47,8.15,0.26,-0.09,0.01,MOV2
6.29,-0.75,7.59,0.28,-0.1,0.0,MOV2
6.8,-0.72,7.56,0.28,-0.1,-0.03,MOV2
6.1,-0.96,8.26,0.26,-0.1,-0.02,MOV2
5.73,-1.36,8.59,0.25,-0.09,0.01,MOV2
5.77,-0.67,7.8,0.29,-0.07,-0.0,MOV2
6.39,-0.86,7.36,0.28,-0.08,-0.03,MOV2
6.29,-1.1,7.89,0.25,-0.1,-0.03,MOV2
6.05,-1.04,8.3,0.24,-0.1,0.0,MOV2
6.03,-0.77,7.87,0.3,-0.09,-0.0,MOV2
